id,科目,章,問題種別,年度,問題番号,曜日グループ,問題文,解答,解説
134,生保1,1,中問,,,4,"④(18) ①保険料率の設定手法の１つであるイクエーション方式・アキュムレーション方式について、それぞれの概要・特　　　　徴を述べよ。
②伝統的なイクエーション方式と比較した場合のアキュムレーション方式の優位点を述べよ。","①
＜イクエーション方式の概要・特徴＞
・保険料の収入現価が、給付金・事業費等の支出原価と利益現価の合計に等しいという前提から方程式を導き、営業保険料率を求める方式。
・原理が単純であり、計算量が少なくて済む。
・利益目標を明示的に取り扱える。
・保険年度ごとの利益水準がそのままでは不明である。

＜アキュムレーション方式の概要・特徴＞
・アキュムレーション方式によるプライシングでは、出発点となる保険料率から実際に各年度末アセットシェアの数値を算出し、その上で、利益目標に見合う保険料率を定める。
・利益目標を明示的にプライシングの中に織り込み、また利益目標として複数設定することが可能となる。

②
・日本における伝統的な３利源の予定基礎率を用いた営業保険料の算式に基づく方法(α－β－γ方式)も含め、イクエーション方式による方法と比較して、利益に影響する計算要素を幅広い範囲で吟味し、プライシングに反映することが可能となる。
・各経過年度末の累積収支残を計算していくことから、状況の変化に伴う収益性の変化、あるいは保険料率などを経過年数によって変更した場合の試算なども可能となる。
・プライシングの前提条件を変えることで、感応度分析を行うことが可能となる。
・更には、イクエーション方式では反映されにくかった点(あるいは商品毎収益検証として検討されていた点)の反映が可能である。例えば、
　　・新契約のボリューム
　　・解約率や更新率といった、商品のオプション性をある程度反映
　　・保険期間全体での収益性といった観点からのプライシング
　　・費差損を危険差益で埋め合わせるなど、利源ごとの損益のバランスを考慮
・仮に、経済価値ベースでの評価手法を取り入れる場合には、技術的に共通する部分が多く、整合的なプライシングとなる。",
135,生保1,1,中問,,,4,④(19) 商品開発時の価格設定について、「伝統的手法における利益目標を考慮しない方式」から「アキュムレーション方式」に変更することを検討している。アキュムレーション方式による価格設定の手順、特徴及び留意すべき事項について簡潔に説明しなさい。,"＜手順＞
・将来のある時点を定め、収支残の累積計算による純利益が利益目標に見合うような営業保険料率を次の手順で求めるもの。
(1) 仮保険料率を別の手法で定める。
(2) その仮保険料率を用い、累積収支残を計算する。
(3) 仮保険料率の変動1単位当たりの純利益への影響を計算する。
(4) (3)の結果を用い、利益目標に見合う保険料率を求める。

＜特徴＞
・利益目標を踏まえた保険料を設定することが可能。
・各経過年度末の累積収支残を算出しているため、状況の変化に伴って収益性を検証し、場合によっては保険料を変更するなどの試算も可能。
・イクエーション方式では反映されにくかった点(あるいは商品毎収益検証で確認していた点)の反映が可能。(新契約のボリューム、解約オプション等の反映、保険期間全体での収益性を踏まえたプライシング、費差損を危険差益で埋めるなど利源ごとの損益のバランスを考慮)
・保険料が直接的には求められず、伝統的な手法と比べて原理が複雑で計算量が多い。

＜留意すべき事項＞
○利益目標の設定
　・利益目標をはじめとする会社全体の経営方針を明確化・数値化し、保険料計算に明示的に織り込む必要がある。(例:経営者行動であれば、有配当契約については配当支払い、自己資本を調達する場合にはその調達コスト等)
　・利益目標については、開発する商品の市場での価格水準をある程度意識しつつ、ターゲットとなる水準を決める必要がある。
○前提条件の設定
　・もっとも確からしいシナリオをいかに設定するかが問題となる。各種シナリオは相互に関連するものもある(例:運用利回りと解約率)ため、全体のシナリオとしてもっとも確からしいシナリオの選択が求められる。
　・各種前提については客観性が担保されることが重要となる。恣意的な前提とならないよう部門間で牽制を効かせつつ、経営管理上の統制のとれた形で設定する必要がある。
○安全割増の考え方を再整理する必要性
　・伝統的手法における利益目標を考慮しない場合の安全割増の役割(リスクバッファー、調達資本に対する利源還元財源の確保、純利益の確保)と、利益目標を明示的にしたアキュムレーション方式での安全割増の役割が異なるので、考え方を再整理し、各役割について計量化しておく必要がある。
　・その上で、保険料計算上どの項目に反映するかを決めていくことになる。例えば、死亡リスクに対応する準備の部分は、死亡率に加算あるいは利益目標に含める考え方がある。
○契約者価額の設定
　・料率設定時には、解約・払済・転換等で用いる価額も同時に設定する必要がある。これらの価額は、アセットシェアに応じた水準を設定することが基本となる(特に解約・払済については継続契約よりも有利とならないよう、アセットシェア以下とすべきであろう)。
○計算負荷等の実務的な課題への対応
　・変額年金等において契約者オプションを評価する場合には、モデルポイントを設定することで、計算負荷を減らすことも考えられる。",
136,生保1,3,中問,,,4,④(20) アキュムレーションタイプの営業保険料計算方式について説明し、この手法の特徴、使用する場合のメリット・デメリットを簡潔に記載せよ。,"＜定義＞
アキュムレーションタイプとは、アセットシェア計算を用いた保険料率設定方法で、ある一定の利益目標を定め、その目標に合わせて営業保険料を修正していく手法のこと。

＜保険料決定手法＞
保険料の決定に際しては、以下のような作業を行なう。
（１） 仮保険料率の設定
（２） 利益目標の設定
（３） 各種基礎率、脱退率の設定
（４） アセットシェア計算を用いて実際の計算
（５） 利益目標との差を見て保険料率を修正
（６） 法的要件、リスク管理、商品内訳(各年齢、保険期間等)、他商品との整合性の確認
（７） （６）の結果次第では（３）に戻って再計算

＜特徴＞
・この手法の特徴は死亡率や予定利率など個別に設定して保険料を決定するのではなく、総合収益的観点から保険料を設定するもの。
・そのため、いわゆる三利源だけでなく、解約など収支に係るあらゆる要素を保険料率に組み込むことになる。
・利益目標を料率に組み込むことにより経営戦略がよりダイレクトに保険料に反映される。
　「利益目標」には、ソルベンシー確保のために必要な財源を含められる。
・この利益目標の定め方によりHoskins’ method　と　Anderson’s method の2通りの計算方法がある。

＜アキュムレーションタイプのメリット＞
・自由度の高い利益目標を設定できる。
・利益目標を保険料設定に組み込むことができるため経営戦略が伝わりやすい。
・収益検証、料率変更の試算が比較的行ないやすい。

＜アキュムレーションタイプのデメリット＞
・計算に使用するパラメータが多く複雑
・トライアンドエラーでしか計算できないため、計算に時間がかかり負荷が多い。
・ベストエスティメイトな前提を使用するため、利源泉分析ができない。
・手順が難しい解約率などのパラメータを保険料設定に組み込むことになる。",
137,生保1,4,中問,,,4,"④(21) 従来よりも選択基準を緩和した死亡保障を持つ保険商品の開発について以下の問いに答えよ。
(ア)危険選択の必要性一目的について説明せよ。
(イ)逆選択･モラルリスクへの対応方法として考えられる商品設計における対応方法を説明せよ。","(危険選択の必要性)
・危険選択は、逆選択の混入を極力排除した被保険者集団を形成することにより、保険経営の安定を図るために必要である。

(危険選択の目的)
・被保険者の危険度を的確に把握し、その危険に応じた保険料を課すことにより、契約者間の公正性を確保すること
・逆選択・モラルリスクを排除することにより、健全な契約の加入促進、公平性の維持、支払率の安定性の確保等を達成すること
・大数の法則が働く程度に、十分な数の被保険者集団を形成すること

(商品設計における対応方法)
最高保険金額の制限
・逆選択・モラルリスクを有する契約者は、より高額の保険金額を選択すると考えられることから、最高保険金額を、従来の死亡保険よりも低く制限することにより、逆選択・モラルリスクの影響を限定的に抑えることができる。
・加入当初一定期間の死亡保険金額の削減
・逆選択・モラルリスクが見込まれる契約者は、契約後まもなく死亡する可能性が高いと思われる｡よって、加入当初一定期間、例えば2～3年程度は、死亡保険金額を、既払込保険料相当額程度まで削減すれば、こういった契約者の加入を抑えることができるものと考えられる。

責任開始までの待ち期間の設定
・責任開始までの待ち期間を設定するということも考えられる。しかしながら、商品の市場競争力から考えても､善良な契約者の理解が得られるように､待ち期間はたかだか数ヶ月程度が限界と考える｡
免責事由の設定
・ある特定の死亡事由について免責とすることにより当該事由による逆選択・モラルリスクを排除するために免責事由を設定することが考えられる。契約者からの理解が得られるかどうかという観点も必要となる。
保険事故発生率を高めに見積もっておく
基礎率変更権
・経験死亡率が悪化し保険料率の十分性が確保できない場合に対応するために、保険約款に基礎率変更権を規定することが考えられる｡ただし、実際の運用に際しては、権利の行使基準をあらかじめ明確化し、また。募集・販売時に契約者へ周知・徹底し、販売後も状況を開示するといった対応を取ることにより、契約者の理解を得られるようにすることとその実効性を確保しておくことが必要となる｡　(基礎率変更権行使基準の設定は法令等の上では第３分野のみに要請されているが、考え方は第１分野でも同様)
反対給付の組み込み
・生存給付金や満期保険金のように反対給付を組み込めば、死亡率実績が高くなったときに収益性の悪化を緩和することができる。
配当方式
・有配当保険として、あらかじめ大きめの安全割増を組み込んだ予定死亡率にて保険料率を設定するという手法も考えられる。その場合、死亡率実績を確認した上で、それに応じて配当還元することにより死亡率悪化に備えることができる。
保険期間
・保険期間は短期間として更新型とすることが望ましい。更新時までに、経験死亡率に応じた予定死亡率での保険料率設定をすることにより､更新後からはその料率を適用することができる｡あるいは、短期の保険期間のみ取り扱うこととし更新型としないことも考えられる。
健康な被保険者が更新・解約等により脱落することに伴う危険濃縮への対応
　・低解約返戻金型とすることで、健康体の脱落を抑制する
　・保険期間の後期の保険金額を引き下げる（危険濃縮後の支払額を少なくする。顧客ニーズ等の観点も踏まえ導入要否を検討）
　・更新型としない。",
138,生保1,4,中問,,,5,⑤(22) 貴君の会社では、危険選択を従来の基準よりも緩和した死亡保険を設計・販売することとする。このとき、以下の問いに答えなさい。,"① 危険選択の目的・留意すべき点
・危険選択は、逆選択の混入を極力排除した被保険者集団を形成することにより、保険経営の安定を図るために必要である。
・危険選択の結果、保険の加入者が少なく、危険単位の量が極めて少ない状況になると、保険事故の予測は非常に困難になる。
・したがって、「危険選択の厳格性」と「多数の危険単位引受の必要性」は相反する関係あり、両者の調和に留意する必要がある。

② 危険選択緩和型商品の商品設計において留意すべき点
・危険選択緩和型保険では、危険選択が緩和されることから、従来の保険と比較して、逆選択・モラルリスクがより混入しやすいと考えられるため、公平性の観点から、モラルリスクを排除できるような商品設計とすることが重要となる。
・保険金額：逆選択・モラルリスクを有する契約者は、より高額の保険金額を選択すると考えられることから、最高保険金額や加入後一定期間の死亡保険金額を従来よりも低く設定することで、リスクを低く抑えることができる。
・待期間：加入後一定期間の死亡保険金額の削減と似た考え方であるが、責任開始までの待期間を設定することも考えられる。ただし、消費者の理解を得られるよう、あまり長い期間は設定すべきではない。
・免責事由：ある特定の死亡事由について免責とすることにより当該事由による逆選択・モラルリスクを排除することが可能となる。但し、消費者の理解が得られるような事由に限定することが重要となる。

・危険選択緩和型保険では、逆選択・モラルリスクを排除できたとしても、従来の保険と比較して、死亡リスクの高い保険群団が形成されることが想定されるため、十分性・収益性の観点から、死亡率悪化に備えた商品設計とする必要がある。
・基礎率変更権：基礎率変更権の設定により、死亡率悪化による収益悪化を軽減することができる。権利の行使基準を明確化し、募集・販売時に契約者へ周知・徹底し、販売後も適切に情報提供することが求められる。
・反対給付：生存給付金、満期給付金などを商品設計に組み込むことによって、死亡率悪化による収益悪化を軽減することができる。
・保険期間：モラルリスク回避のため短期間とすることが望ましい。更新型とし更新時に保険料率を見直すことで死亡率悪化に備えることが考えられる。
・配当方式：有配当保険とすることで、死亡率悪化による収益悪化を軽減することができる。
料率設定時の留意点としては、例えば下記の予定死亡率設定上の留意点が考えられる。
・基礎データの収集
・安全割増の水準

その他以下のような留意点も考えられる。
・自社・他社に限らず類似商品の危険選択基準との兼ね合いから、死亡率の高い被保険者集団が偏る危険濃縮の問題も考えられる。
・低解約返戻金型：危険選択緩和型保険は、予定死亡率を安全目に設定することから、保険料が高額になることが考えられる。保険料の低廉化を目的として低解約返戻金型とすることも考えられる。
・再保険の活用
・危険準備金の充実
・モニタリングの充実",
139,生保1,4,中問,,,5,⑤(23) 個人保険において高額割引制度を導入する場合のメリット、デメリットを説明しなさい。,"(メリット）
○高額割引により､保険金額や保険料に比例しない｢1件当たりのコスト｣を反映することができる。
○保険金額や保険料に比例しない｢1件当たりのコスト｣を反映することで､事業費の支出実態によりあった保険料設定とすることができる(｢費用主義｣の観点から､より実態と対応することができる)。
○高額割引を付与することで､他社に対する価格競争力を確保することができる。
○営業サイドとしては､高額契約獲得に対するインセンティブとなり､募集効率を高めることができる。
○｢沢山買えば割引があってもよいはずである｣という､消費者の素朴な感覚にあう。
○事後に配当調整をするというやり方も考えられるが､事前に保険料を割引く方が､顧客のニーズに合っていると考えられる｡また､利差のみ配当の商品や無配当商品のように､配当による調整が困難な商品に対して､コスト適正化の手法として一般的に用いられる手法となっている。

(デメリット）
○保険料の体系が複雑となり、簡明性も多少犠牲になるという側面がある。また、高額割引導入時にシステム対応等にコストがかかる。
○高額割引設定時のプライシングや、その後の妥当性の検証など、実務負荷が大きくなる。
○お客さまへの説明の難易度が高くなり、より販売員への教育が必要となる。
○「band method」の場合、適用されるバンドの境界において、保険料に不連続が生じる。
○高額契約が低料化、低額契約が高料化することは、保険の持つ公共性に反する（本来的に保険が必要な人への割増が社会的にあまり容認されない可能性）面がある。
○インフレなどが生じた場合、割引率の妥当性を確認する必要がある。また、過去に遡及して修正できず、結果的に実態と合わなくなる可能性がある（配当による事後調整の方が、コスト適正化の機能を発揮できる)。",
140,生保1,5,中問,,,5,⑤(24) 変額年金保険における最低保証の金融リスク及び保険リスクについて、簡潔に説明しなさい。,"＜最低保証の金融リスク＞
・一般的な変額年金保険では、契約者の運用資産である投資信託を管理する特別勘定と、最低保証機能を担う一般勘定の機能が同時に求められる。
・一般勘定の引受リスクは、最低保証した金額と特別勘定残高の差額であり、保証された保険金を行使価格とする「保険関係費用(最低保証と予定事業費)＋運用関係費用(信託報酬等)相当の外部流出のある原資産のプットオプション」を販売していることに相当する。
・一般にオプションの原資産である投資信託の運用に保険会社は関与せず、契約者が投資信託の資産配分を指示できるものも存在する。
・また、投資信託に対応するヘッジ手段が必ずしも市場で購入可能とはいえないため、一般的な金融商品に比べてリスクコントロールの負荷は大きい。
・また、オプション料に相当する最低保証料は特別勘定資産の残高比例で日々徴収されることが一般的であるため、特別勘定資産が減少(増加)し、最低保証の本源的価値が高まる(低下する)ほど最低保証料収入が減少(増加)するというミスマッチ構造を有している。
・そのため、保険料収入の一部を内部留保して将来のリスクに備えるという伝統的な保険数理の考え方だけではリスクコントロールがうまく機能しない可能性がある。
・さらに、最低保証オプションは、その長期性と原資産が投資信託という特殊性から、市場で一般的に取引されるデリバティブでの複製は難しい。
・また、オプション単価に影響する金融リスクと、契約の残存量に対応しオプションの数量に影響する死亡や解約といった保険リスクの積の構造を持つため、金融市場での完全な複製は困難である。

＜最低保証の保険リスク＞
・伝統的な生命保険数理では被保険者の生死を生命表に従う決定論的なモデルとして取り扱ってきたが、これは各被保険者の死亡事象が独立したときに被保険者数を増やすことでリスクが収斂していくことに依存している。
・変額年金保険の保険数理の実務においても、被保険者の生死に関するモデリングは生命表と生命関数を用いた伝統的な生命保険数理の考えに従うものとなっているが、変額年金保険では、特別勘定を原資産とするオプションのペイオフに対応する金融リスクが共通に関与するため、被保険者数増加によるリスクの収斂は伝統的な保険よりも劣後する。
・実際には、年齢・性別を問わない「一律の最低保証料率(保険関係費用率)」や「職業のみによる危険選択」など、保険リスクに関してアグレッシブなものとなっている。
・この問題はオプションの満期の平均的な長さの違いやオプション料の収入現価の多寡に直結するため、金融リスク面でもミスプライスの要因となりうる。
・さらに、死亡率以上に大きな影響を持つ保険リスクファクターが解約率である。
・実務では、非合理的な解約行動を織り込んで、何らかの統計的推定に基づき経過時間や、原資産価格と保証水準の関係等に応じた決定論的なモデルが用いられることが多いが、販売開始からの期間も短く、商品性も多様であるため、解約率モデルのベースとなる統計が死亡率ほど頑健なものとはいえない。",
141,生保1,5,中問,,,5,"⑤(25) 変額年金保険の最低保証における保険リスクについて、以下の問に答えなさい。
　①　最低保証における保険リスクに対応する最低保証料率(保険関係費用率)として、年齢・性別によらない一律の最低保証料率を設定することについて、メリット・デメリット及び留意点を述べなさい。
　②　最低保証における保険リスクにおいて、解約率に関しての留意点を述べなさい。","①
・販売側のニーズによって、投資信託の手数料慣行に倣って、分かりやすい手数料体系である「年齢・性別によらない一律の最低保証料率」が設定されることがある。
・変額年金保険においては、保険リスクだけではなく、特別勘定を原資産とするオプションのペイオフに対応する金融リスクも存在するため、被保険者数増加によるリスクの収斂性は、伝統的な保険よりも劣後することから、
・変額年金保険においては、保険リスク管理については慎重な対応が必要とも考えられる。
・特に、一律の最低保証料率における、契約者の年齢・性別分布の実際と仮定の乖離に起因するミス・プライシングリスクは無視できない。
・加えて、この問題はオプションの満期の平均的な長さの違いや、オプション料の収入現価の多寡に直結することから、金融リスク面でもミスプライスの要因となりうる。

②
・解約率は、死亡率以上に大きな影響を持つ保険リスクファクターである。
・変額年金保険では、動的解約がみられる(インザマネーの度合いが深くなると解約率が低下し、アウトオブザマネーの度合いが深くなると解約率が上昇する)が、
・最適行使を前提とすると最低保証の価値は跳ね上がり、それに見合う最低保証料は、最適行使の意図を持たない一般の消費者にとって受け入れがたい非現実的な水準となる可能性が高い。
・特に低金利環境下での年金原資保証は極めて高価なオプションであり解約率の想定なしには実現不可能な場合がある。
・実務では、非合理的な解約行動を織り込んで、何らかの統計的推定に基づき経過時間や、原資産価格と保証水準の関係(インザマネーとの度合い)などに応じた決定論的なモデルが強いられることが多いが、
・販売開始からの期間も短く、商品性も多様であるため、解約率モデルのベースとなる統計が死亡率ほど頑健的なものとはいえないことに注意が必要である。
・発売後には、解約率実績のモニタリング(想定する解約率と解約実績のとの比較)を行い、当初想定との乖離が観測される場合には、原因の考察などを行うなど注意が必要である。
・なお、最低保証料率は特別勘定資産の残高比例で日々徴収されることが一般的であるため、特別勘定の資産が減少し危険保険金額が増加するほど最低保証料収入が減少し、特別勘定資産が増加し危険保険金額が減少するほど最低保証料収入が増加するというミスマッチ構造となることに注意が必要である。",
142,生保1,5,中問,,,5,⑤(55) 変額年金保険における最低保証の金融リスク及び保険リスクについて、簡潔に説明しなさい。,"＜最低保証の金融リスク＞
・一般的な変額年金保険では、契約者の運用資産である投資信託を管理する特別勘定と、最低保証機能を担う一般勘定の機能が同時に求められる。
・一般勘定の引受リスクは、最低保証した金額と特別勘定残高の差額であり、保証された保険金を行使価格とする「保険関係費用(最低保証と予定事業費)＋運用関係費用(信託報酬等)相当の外部流出のある原資産のプットオプション」を販売していることに相当する。
・一般にオプションの原資産である投資信託の運用に保険会社は関与せず、契約者が投資信託の資産配分を指示できるものも存在する。
・また、投資信託に対応するヘッジ手段が必ずしも市場で購入可能とはいえないため、一般的な金融商品に比べてリスクコントロールの負荷は大きい。
・また、オプション料に相当する最低保証料は特別勘定資産の残高比例で日々徴収されることが一般的であるため、特別勘定資産が減少(増加)し、最低保証の本源的価値が高まる(低下する)ほど最低保証料収入が減少(増加)するというミスマッチ構造を有している。
・そのため、保険料収入の一部を内部留保して将来のリスクに備えるという伝統的な保険数理の考え方だけではリスクコントロールがうまく機能しない可能性がある。
・さらに、最低保証オプションは、その長期性と原資産が投資信託という特殊性から、市場で一般的に取引されるデリバティブでの複製は難しい。
・また、オプション単価に影響する金融リスクと、契約の残存量に対応しオプションの数量に影響する死亡や解約といった保険リスクの積の構造を持つため、金融市場での完全な複製は困難である。

＜最低保証の保険リスク＞
・伝統的な生命保険数理では被保険者の生死を生命表に従う決定論的なモデルとして取り扱ってきたが、これは各被保険者の死亡事象が独立したときに被保険者数を増やすことでリスクが収斂していくことに依存している。
・変額年金保険の保険数理の実務においても、被保険者の生死に関するモデリングは生命表と生命関数を用いた伝統的な生命保険数理の考えに従うものとなっているが、変額年金保険では、特別勘定を原資産とするオプションのペイオフに対応する金融リスクが共通に関与するため、被保険者数増加によるリスクの収斂は伝統的な保険よりも劣後する。
・実際には、年齢・性別を問わない「一律の最低保証料率(保険関係費用率)」や「職業のみによる危険選択」など、保険リスクに関してアグレッシブなものとなっている。
・この問題はオプションの満期の平均的な長さの違いやオプション料の収入現価の多寡に直結するため、金融リスク面でもミスプライスの要因となりうる。
・さらに、死亡率以上に大きな影響を持つ保険リスクファクターが解約率である。
・実務では、非合理的な解約行動を織り込んで、何らかの統計的推定に基づき経過時間や、原資産価格と保証水準の関係等に応じた決定論的なモデルが用いられることが多いが、販売開始からの期間も短く、商品性も多様であるため、解約率モデルのベースとなる統計が死亡率ほど頑健なものとはいえない。",
143,生保1,5,中問,,,6,⑥(26) 平成8年・大蔵省告示第48号第5項に規定されている、変額年金保険等の最低保証に係る保険料積立金の積立方式である「標準的方式」を簡潔に説明せよ。また、それを使用する場合における留意点を挙げ、金融庁の「保険会社向けの総合的な監督指針」の記載内容を踏まえ簡潔に説明せよ。,"＜「標準的方式」の内容について＞
・「標準的方式」により計算される保険料積立金は次の①から②を控除した金額である。
　　　　①一般勘定における最低保証に係る保険金等の支出現価
　　　　②一般勘定における最低保証に係る純保険料の収入現価
＜「標準的方式」を使用する場合における留意点＞
　［全般］：:通常予測されるリスクに対応するものとして、標準的な計算式によって、概ね50％の事象をカバーできる水準に対応する額を算出するものとする。
　
［予定死亡率］：
・標準死亡率を使用
・最低死亡保証･最低生存保証両方の保証が付された保険契約においては、保険料積立金の積立が保守的となる方の標準死亡率を使用する。

　［割引率］：割引率として標準利率を使用する。

　［期待収益率］：期待収益率として標準利率を使用する。

　［ボラティリティ］：資産種類に応じて法定されているボラティリティを使用する。なお､下記以外の資産種類のボラティリティに関しては過去の実績等から合理的に定めたものを使用する。
　　　　＜参考：法定されている水準＞
　　　　国内株式:18. 4%、邦貨建債券:3. 5%、
　　　　外国株式:18. 1%、外貨建債券:12. 1%

　［予定解約率］：
　・過去の実績や商品性等から合理的に定める。
　・設定した予定解約率について、解約実績との比較などにより、検証を行なう。
　・特別勘定の残高が最低保証額を下回る状態にあるときの解約率が、特別勘定の残高が最低保証額を超える状態にあるときの解約率より低い率とする。
　・解約控除期間における解約率が、解約控除期間終了後の解約率と比べ、低い率とする。
　・最低年金原資保証が付された保険契約で、年金開始前における特別勘定の残高が最低保証額を下回る状態にある場合において解約率を保守的に設定する。

　［その他の基礎率］：過去の実績や商品性等から合理的に設定する。",
144,生保1,5,中問,,,6,⑥(27) 変額年金保険の規制で用いられている「リスク調整済み期待値アプローチ」・「CTEアプローチ」について、それぞれの特徴及び差異を簡潔に説明しなさい。," リスク調整済みアプローチ
＜定義・特徴＞
・無裁定価格の導出のためのリスク中立測度を含む、広くリスク調整に相当する測度変換後の確率分布の下で期待値を取る方法
・リスク調整後の確率分布全体の情報を用いる。
・リスク調整は価値評価のためだけのもので、必要資本要件のためのリスク評価はこの価値の変動幅を見るものとして別の枠組みを用いることが一般的である。具体的には、所定の信頼水準で、モデルパラメータの変動が価値に与える影響をリスクとして評価することが一般的である。

＜メリット・デメリット＞
・ファットテイルの影響が小さい。
・シナリオテストで収束値を求めるとき、CTEアプローチほどは多くのシナリオを必要としない。
・デリバティブの評価と整合的
・評価結果に組み込まれる、保守性の程度が不明となる。

 CTEアプローチ
＜定義・特徴＞
・CTEは、VaRの左側テイルの条件付き期待値として次式で定義される。
CTE(α)=E⁡[X ┤| VaR(α)≧X] (ただし、VaR(α)=inf⁡{x∈R ∶ F(x)≧1-α})
・観測確率分布の一部分(テイル)の情報しか使わない。
・モデルパラメータを固定して、信頼区間の設定により最低保証の価値評価と必要資本要件のためのリスク評価を同じ枠組みで行なうものであり、原則的にモデルパラメータの変動リスクは視野に入れない。

＜メリット・デメリット＞
・保守性の程度が明瞭
・ファットテイルの影響が大きい
・シナリオテストで収束値を求めるには、より多くのシナリオを発生させなければならない。
・デリバティブの評価と整合的でない。",
145,生保1,5,中問,,,6,⑥(28) 変額年金保険の最低保証部分の責任準備金等を評価するためのアプローチである、CTEアプローチとリスク調整済み期待値アプローチについて、簡潔に説明しなさい。,"＜最低保証部分の給付額の特徴＞
・特別勘定の積立金額の増減に対して非対称であり､一種の金融オプション
・大数の法則を前提とした決定論的な手法では､十分な責任準備金評価が困難
・特別勘定の原資産価額の変動を確率論的にとらえ､金融リスク管理の手法を取り入れた責任準備金評価が必要

＜CTEアプローチ＞
・確率分布の一部(テイル)の期待値を用いるものであり、分位原理の一種
・信頼水準αに対して責任準備金が増大する悪化事象の下方α分位までの条件付期待値をもって評価
・カナダ等の変額年金保険規制において､責任準備金および最低資本準備金の算出に使用

メリット
・長いテイルリスクの把握や分散効果の把握に向かないといったVaRの弱点を踏まえ､望ましい性質を充足するリスク尺度の要件としてのコヒーレント･リスク尺度の要件を充足
・最低保証の価値評価と必要資本要件のためのリスク評価を同じCTEの枠組みで行なうことが可能

デメリット
・一期間ではなく多期間のリスク尺度としては､通時一貫性がない

その他留意点
・悪化シナリオに基づいた評価手法であり、保守性が組み込まれているため、原資産の変動を表現するパラメータは必ずしも保守的である必要はない
・テイル表現能力を重視した原資産収益率モデルが必要である。

＜リスク調整済み期待値アプローチ＞
・確率分布全体を用いて､その期待値もって評価する期待値原理の一種である。
・確率分布が同じであれば､CTE (0%)と同じ結果
・リスク調整済み期待値アプローチでは､オプション無裁定価格導出のためのリスク中立測度を含むリスク調整に相当する測度変換後の確率分布の下で期待値をとる
・日本の標準的手法において､期待収益率と割引率に標準利率を用いる点で､リスク調整済みアプローチの考え方を採用

メリット
・CTEの通時一貫性がないといった問題点を回避
・CTEと比べて､ファットテイルの影響を受けにくく、また､シミュレーションでのシナリオ数は比較的少ない

デメリット
・市場整合的評価に近づけるためのモデルとパラメータの内製化が困難
・リスク調整は価値評価のためだけのものであり、必要資本要件のためのリスク評価には別の枠組みが必要

その他留意点
・評価手法自体に保守性が組み込まれていないため、責任準備金評価に用いる基礎率を保守的にする必要がある",
146,生保1,5,中問,,,6,⑥(29) 変額年金保険の最低保証における「経済価値のヘッジ」と「会計価値のヘッジ」のそれぞれの概要について、両者の目的の違いを踏まえたうえで簡潔に説明しなさい。,"・変額年金保険の最低保証における「経済価値のヘッジ」と「会計価値のヘッジ」は、ヘッジの対象となる最低保証の価値について、経済価値で評価した負債を用いるか、あるいは会計上の負債（責任準備金）を用いるか、という点で異なっている。
・経済価値のヘッジは、デリバティブによる負債の経済価値の複製とそれによるリスクの中和を意図しており、経済価値の変動の抑制を目的としている｡
・ヘッジ手法としては､原資産価格に対応する感応度であるDelta、Deltaの感応度であるGamma、原資産ボラティリティの感応度であるVega、金利の感応度であるRhoといったリスクパラメータに分解し、
･Deltaに対しては主に先物を、GammaやVegaは主にオプションを、Rhoは主に金利スワップを用いる等、リスクパラメータに応じたヘッジ手法を用いる｡
・また、比較的短期でロールが必要な先物等を用いた動態ヘッジと長期のオプションの買い持ちによる静態ヘッジ、あるいはその混合がある｡
・なお、経済価値のヘッジは、解約等のモデルリスク等により完全なヘッジは困難が伴うことや、
・負債が時価評価されない会計とはミスマッチが生じる等の課題がある。
・会計価値のヘッジは。会計的価値の変動を抑制することを目的としているが、
・一般的に、責任準備金は制度上負の値を取らないこと、
・責任準備金の基礎率は金融市場のパラメータと構造・水準が一致しないこと等から、デリバティブによる負債価値の複製は困難である。
・また、最低保証の責任準備金の基礎率がロックインされ、金利やボラティリティが固定されることから先物以外のヘッジは使いづらいこととなる。",
